Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",94.45033088235294,82.085,78.86007352941178,7.4177941176470625,67.65,1.2250000000000085,9.42,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",98.06408333333334,82.08499999999998,81.82791666666665,7.73858333333331,67.65,1.2250000000000085,9.42,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.2425857519789,94.21000000000001,93.13389182058047,4.721068601583113,90.81,2.825000000000003,9.62,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.22625000000002,94.21000000000001,92.79834745762714,4.843495762711882,90.81,2.825000000000003,9.62,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.11161764705881,94.21000000000001,90.71636029411765,4.752977941176468,90.81,2.825000000000003,9.62,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.76208333333334,94.21000000000002,94.15183333333334,4.9475000000000335,90.81,2.825000000000003,9.62,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.4327308707124,93.43500000000003,92.52233509234831,5.093179419525086,91.43,3.8950000000000102,10.665,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.30724576271186,93.43500000000002,92.08677966101695,5.169745762711855,91.43,3.8950000000000102,10.665,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,2.5,8,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.16680147058821,93.435,90.00904411764705,5.069448529411758,91.43,3.8950000000000102,10.665,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R10,61–90,2.5,8,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.80858333333335,93.435,93.40158333333333,5.271666666666661,91.43,3.8950000000000102,10.665,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
AVI_CL_LOW,AVI typical clearance −20%,R12,91–120,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.59763852242745,93.47500000000001,92.66316622691294,5.172440633245387,92.16499999999999,4.404999999999987,11.82,0,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
