model,bsv,regimen,ekfc_class,dose_g,interval_h,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,toxicity_pct,limiting_component
M2_Chen_2025,structural,R8,31–60,2.5,12,64,1.015,97.3,1.015,25.845000000000002,ceftazidime
M2_Chen_2025,structural,R9,61–90,2.5,12,0.0625,100.0,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,0.125,100.0,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,0.25,100.0,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,0.5,100.0,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,1,99.995,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,2,99.78,94.735,94.735,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,4,95.74000000000001,94.735,93.86,15.590000000000002,avibactam
M2_Chen_2025,structural,R9,61–90,2.5,12,8,73.245,94.735,73.245,15.590000000000002,ceftazidime
M2_Chen_2025,structural,R9,61–90,2.5,12,16,31.39,94.735,31.39,15.590000000000002,ceftazidime
M2_Chen_2025,structural,R9,61–90,2.5,12,32,5.365,94.735,5.365,15.590000000000002,ceftazidime
M2_Chen_2025,structural,R9,61–90,2.5,12,64,0.24,94.735,0.24,15.590000000000002,ceftazidime
M2_Chen_2025,structural,R10,61–90,2.5,8,0.0625,100.0,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,0.125,100.0,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,0.25,100.0,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,0.5,100.0,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,1,100.0,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,2,99.97500000000001,98.64500000000001,98.64500000000001,36.335,avibactam
M2_Chen_2025,structural,R10,61–90,2.5,8,4,99.125,98.64500000000001,98.44500000000001,36.335,both
M2_Chen_2025,structural,R10,61–90,2.5,8,8,89.92999999999999,98.64500000000001,89.925,36.335,ceftazidime
M2_Chen_2025,structural,R10,61–90,2.5,8,16,56.48,98.64500000000001,56.48,36.335,ceftazidime
M2_Chen_2025,structural,R10,61–90,2.5,8,32,16.845,98.64500000000001,16.845,36.335,ceftazidime
M2_Chen_2025,structural,R10,61–90,2.5,8,64,1.8499999999999999,98.64500000000001,1.8499999999999999,36.335,ceftazidime
M2_Chen_2025,structural,R11,91–120,2.5,8,0.0625,100.0,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,0.125,100.0,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,0.25,100.0,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,0.5,100.0,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,1,99.995,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,2,99.945,97.88,97.88,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,4,98.545,97.88,97.53,27.334999999999997,avibactam
M2_Chen_2025,structural,R11,91–120,2.5,8,8,85.235,97.88,85.235,27.334999999999997,ceftazidime
M2_Chen_2025,structural,R11,91–120,2.5,8,16,47.115,97.88,47.115,27.334999999999997,ceftazidime
M2_Chen_2025,structural,R11,91–120,2.5,8,32,11.52,97.88,11.52,27.334999999999997,ceftazidime
M2_Chen_2025,structural,R11,91–120,2.5,8,64,0.9450000000000001,97.88,0.9450000000000001,27.334999999999997,ceftazidime
M2_Chen_2025,structural,R12,91–120,2.5,6,0.0625,100.0,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,0.125,100.0,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,0.25,100.0,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,0.5,100.0,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,1,100.0,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,2,99.99,99.27,99.27,44.905,avibactam
M2_Chen_2025,structural,R12,91–120,2.5,6,4,99.595,99.27,99.185,44.905,both
M2_Chen_2025,structural,R12,91–120,2.5,6,8,93.425,99.27,93.42,44.905,ceftazidime
M2_Chen_2025,structural,R12,91–120,2.5,6,16,65.33,99.27,65.33,44.905,ceftazidime
M2_Chen_2025,structural,R12,91–120,2.5,6,32,23.34,99.27,23.34,44.905,ceftazidime
M2_Chen_2025,structural,R12,91–120,2.5,6,64,3.09,99.27,3.09,44.905,ceftazidime
M2_Chen_2025,structural,R13,121–150,2.5,6,0.0625,100.0,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,0.125,100.0,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,0.25,100.0,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,0.5,100.0,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,1,100.0,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,2,99.985,99.005,99.005,37.49,avibactam
M2_Chen_2025,structural,R13,121–150,2.5,6,4,99.215,99.005,98.825,37.49,both
M2_Chen_2025,structural,R13,121–150,2.5,6,8,90.85499999999999,99.005,90.85499999999999,37.49,ceftazidime
M2_Chen_2025,structural,R13,121–150,2.5,6,16,57.825,99.005,57.825,37.49,ceftazidime
M2_Chen_2025,structural,R13,121–150,2.5,6,32,17.965,99.005,17.965,37.49,ceftazidime
M2_Chen_2025,structural,R13,121–150,2.5,6,64,2.12,99.005,2.12,37.49,ceftazidime
M3_Registrational,structural,R1,0–30,0.625,12,0.0625,100.0,74.685,74.685,24.635,avibactam
M3_Registrational,structural,R1,0–30,0.625,12,0.125,100.0,74.685,74.685,24.635,avibactam
M3_Registrational,structural,R1,0–30,0.625,12,0.25,100.0,74.685,74.685,24.635,avibactam
M3_Registrational,structural,R1,0–30,0.625,12,0.5,100.0,74.685,74.685,24.635,avibactam
