rho_scenario,target_scenario,regimen,ekfc_class,joint_cfr_median,joint_cfr_p2.5,joint_cfr_p97.5,prediction_interval_width_pp,p_permissible_pct,p_joint_cfr_ge_80_pct
C3_agnostic,T3_discrete,R8,31–60,96.94,77.61,99.12,21.51,72.3,95.1
C3_agnostic,T3_discrete,R9,61–90,93.84,62.35,98.14,35.78,95.9,70.2
C3_agnostic,T3_discrete,R10,61–90,97.13,76.98,99.19,22.21,68.8,93.7
C3_agnostic,T3_discrete,R11,91–120,95.79,68.16,98.79,30.62,89.8,79.4
C3_agnostic,T3_discrete,R12,91–120,97.6,78.18,99.29,21.11,63.1,95.8
C3_agnostic,T3_discrete,R13,121–150,96.1,66.97,98.98,32.01,85.1,80.2
C3_agnostic,T4_uniform,R1,0–30,85.9,68.03,95.63,27.61,81.3,72.4
C3_agnostic,T4_uniform,R2,0–30,93.58,80.16,98.36,18.2,33.5,97.5
C3_agnostic,T4_uniform,R5,31–60,67.64,40.51,90.03,49.52,100.0,26.7
C3_agnostic,T4_uniform,R6,31–60,80.12,56.23,94.67,38.44,99.3,50.3
C3_agnostic,T4_uniform,R7,31–60,91.56,72.13,98.02,25.89,93.3,88.4
C3_agnostic,T4_uniform,R8,31–60,95.66,81.29,98.95,17.66,71.2,98.2
C3_agnostic,T4_uniform,R9,61–90,88.73,66.93,97.55,30.62,95.9,75.1
C3_agnostic,T4_uniform,R10,61–90,95.83,80.39,99.05,18.66,67.8,97.7
C3_agnostic,T4_uniform,R11,91–120,92.24,72.77,98.43,25.66,90.3,88.3
C3_agnostic,T4_uniform,R12,91–120,96.25,81.68,99.16,17.49,61.3,98.4
C3_agnostic,T4_uniform,R13,121–150,93.18,71.68,98.71,27.03,85.8,87.9
C3_agnostic,T5_triangular,R1,0–30,89.34,73.73,96.1,22.37,81.3,88.8
C3_agnostic,T5_triangular,R2,0–30,95.19,83.84,98.5,14.67,33.5,99.3
C3_agnostic,T5_triangular,R5,31–60,77.28,48.27,90.72,42.45,100.0,40.9
C3_agnostic,T5_triangular,R6,31–60,86.28,62.31,95.15,32.84,99.3,71.7
C3_agnostic,T5_triangular,R7,31–60,94.03,77.6,98.17,20.57,93.3,96.0
C3_agnostic,T5_triangular,R8,31–60,96.87,85.26,99.01,13.76,71.2,99.4
C3_agnostic,T5_triangular,R9,61–90,92.62,72.98,97.8,24.82,95.9,90.7
C3_agnostic,T5_triangular,R10,61–90,97.07,84.45,99.11,14.66,67.8,99.2
C3_agnostic,T5_triangular,R11,91–120,95.0,78.67,98.58,19.91,90.3,96.5
C3_agnostic,T5_triangular,R12,91–120,97.45,85.99,99.23,13.24,61.3,99.4
C3_agnostic,T5_triangular,R13,121–150,95.54,78.04,98.84,20.79,85.8,96.4
C3_agnostic,T6_lognormal,R1,0–30,91.61,65.18,96.61,31.43,80.5,90.1
C3_agnostic,T6_lognormal,R2,0–30,96.08,79.82,98.66,18.84,33.7,97.4
C3_agnostic,T6_lognormal,R5,31–60,83.8,32.0,92.16,60.16,99.7,64.1
C3_agnostic,T6_lognormal,R6,31–60,90.2,48.24,95.85,47.6,99.0,81.2
C3_agnostic,T6_lognormal,R7,31–60,95.61,69.33,98.42,29.09,92.7,93.9
C3_agnostic,T6_lognormal,R8,31–60,97.6,80.33,99.13,18.79,71.9,97.5
C3_agnostic,T6_lognormal,R9,61–90,94.81,59.81,98.13,38.32,95.0,90.8
C3_agnostic,T6_lognormal,R10,61–90,97.82,78.46,99.19,20.73,69.0,97.2
C3_agnostic,T6_lognormal,R11,91–120,96.47,67.03,98.8,31.76,89.8,94.3
C3_agnostic,T6_lognormal,R12,91–120,98.14,80.44,99.31,18.86,63.2,97.5
C3_agnostic,T6_lognormal,R13,121–150,96.81,66.84,98.99,32.15,85.4,94.0
C3_agnostic,T7_coleman_evidence,R1,0–30,93.61,85.68,97.14,11.46,81.5,100.0
C3_agnostic,T7_coleman_evidence,R2,0–30,97.05,91.44,98.81,7.37,33.9,100.0
C3_agnostic,T7_coleman_evidence,R5,31–60,88.07,78.94,93.11,14.17,99.8,96.3
C3_agnostic,T7_coleman_evidence,R6,31–60,92.97,84.32,96.4,12.07,99.3,99.8
C3_agnostic,T7_coleman_evidence,R7,31–60,96.81,90.5,98.61,8.11,93.2,100.0
C3_agnostic,T7_coleman_evidence,R8,31–60,98.28,93.6,99.21,5.61,72.3,100.0
C3_agnostic,T7_coleman_evidence,R9,61–90,96.35,89.64,98.41,8.77,95.9,100.0
C3_agnostic,T7_coleman_evidence,R10,61–90,98.39,93.86,99.27,5.41,68.8,100.0
C3_agnostic,T7_coleman_evidence,R11,91–120,97.6,92.23,98.96,6.74,89.8,100.0
C3_agnostic,T7_coleman_evidence,R12,91–120,98.67,94.91,99.36,4.45,63.1,100.0
C3_agnostic,T7_coleman_evidence,R13,121–150,97.84,92.36,99.12,6.76,85.1,100.0
