rho_scenario,target_scenario,ekfc_class,regimen,p_optimal_pct,is_fixed_threshold_choice,mean_utility
C3_agnostic,T4_uniform,0–30,R2,53.3,yes,74.3
C3_agnostic,T4_uniform,31–60,R5,0.2,no,66.14
C3_agnostic,T4_uniform,31–60,R6,10.7,no,76.46
C3_agnostic,T4_uniform,31–60,R7,52.7,no,83.83
C3_agnostic,T4_uniform,31–60,R8,36.4,yes,82.7
C3_agnostic,T4_uniform,61–90,R9,52.0,no,81.85
C3_agnostic,T4_uniform,61–90,R10,47.9,yes,81.94
C3_agnostic,T4_uniform,91–120,R11,72.8,no,83.38
C3_agnostic,T4_uniform,91–120,R12,27.2,yes,81.32
C3_agnostic,T4_uniform,121–150,R13,100.0,yes,82.5
C3_agnostic,T5_triangular,0–30,R1,64.8,no,77.09
C3_agnostic,T5_triangular,0–30,R2,35.2,yes,76.1
C3_agnostic,T5_triangular,31–60,R5,0.2,no,73.59
C3_agnostic,T5_triangular,31–60,R6,16.1,no,81.96
C3_agnostic,T5_triangular,31–60,R7,63.0,no,86.69
C3_agnostic,T5_triangular,31–60,R8,20.8,yes,84.32
C3_agnostic,T5_triangular,61–90,R9,70.5,no,85.66
C3_agnostic,T5_triangular,61–90,R10,29.5,yes,83.71
C3_agnostic,T5_triangular,91–120,R11,86.8,no,86.33
C3_agnostic,T5_triangular,91–120,R12,13.2,yes,82.97
C3_agnostic,T5_triangular,121–150,R13,100.0,yes,85.44
C3_agnostic,T6_lognormal,0–30,R1,75.6,no,78.01
C3_agnostic,T6_lognormal,0–30,R2,24.4,yes,76.26
C3_agnostic,T6_lognormal,31–60,R5,0.4,no,77.15
C3_agnostic,T6_lognormal,31–60,R6,23.9,no,83.68
C3_agnostic,T6_lognormal,31–60,R7,59.8,no,87.11
C3_agnostic,T6_lognormal,31–60,R8,16.0,yes,84.47
C3_agnostic,T6_lognormal,61–90,R9,80.2,no,86.46
C3_agnostic,T6_lognormal,61–90,R10,19.9,yes,83.9
C3_agnostic,T6_lognormal,91–120,R11,88.3,no,86.75
C3_agnostic,T6_lognormal,91–120,R12,11.7,yes,83.16
C3_agnostic,T6_lognormal,121–150,R13,100.0,yes,85.85
C3_agnostic,T7_coleman_evidence,0–30,R1,93.2,no,82.17
C3_agnostic,T7_coleman_evidence,0–30,R2,6.9,yes,78.59
C3_agnostic,T7_coleman_evidence,31–60,R5,0.6,no,86.56
C3_agnostic,T7_coleman_evidence,31–60,R6,39.3,no,90.2
C3_agnostic,T7_coleman_evidence,31–60,R7,56.8,no,90.57
C3_agnostic,T7_coleman_evidence,31–60,R8,3.4,yes,86.48
C3_agnostic,T7_coleman_evidence,61–90,R9,96.9,no,90.95
C3_agnostic,T7_coleman_evidence,61–90,R10,3.1,yes,85.99
C3_agnostic,T7_coleman_evidence,91–120,R11,98.6,no,90.29
C3_agnostic,T7_coleman_evidence,91–120,R12,1.4,yes,85.11
C3_agnostic,T7_coleman_evidence,121–150,R13,100.0,yes,89.23
